species,species_md,coral_uid,taxon,occurrence,mean_abundance,intensity
Pocillopora favosa,*Pocillopora favosa*,12Pd1_control_unified,alpheus,0.625,1.0833333333333335,1.7333333333333334
Pocillopora favosa,*Pocillopora favosa*,12Pd1_control_unified,trapezia,0.9166666666666666,2.791666666666667,3.0454545454545454
Pocillopora favosa,*Pocillopora favosa*,12Pd2_control_unified,alpheus,0.44,0.7999999999999999,1.8181818181818181
Pocillopora favosa,*Pocillopora favosa*,12Pd2_control_unified,trapezia,1,2.16,2.16
Pocillopora favosa,*Pocillopora favosa*,12Pd3_control_unified,alpheus,0.12,0.16,1.3333333333333333
Pocillopora favosa,*Pocillopora favosa*,12Pd3_control_unified,trapezia,0.64,1.16,1.8125
Pocillopora favosa,*Pocillopora favosa*,12Pd4_control_unified,alpheus,0.12,0.23999999999999988,2
Pocillopora favosa,*Pocillopora favosa*,12Pd4_control_unified,trapezia,0.88,1.6,1.8181818181818181
Pocillopora favosa,*Pocillopora favosa*,12Pd5_control_unified,alpheus,0.43478260869565216,0.6956521739130436,1.6
Pocillopora favosa,*Pocillopora favosa*,12Pd5_control_unified,trapezia,0.6521739130434783,1.2173913043478262,1.8666666666666667
Pocillopora favosa,*Pocillopora favosa*,12Pd6_control_unified,alpheus,0.7368421052631579,1.6842105263157894,2.2857142857142856
Pocillopora favosa,*Pocillopora favosa*,12Pd6_control_unified,trapezia,0.8947368421052632,2.526315789473684,2.823529411764706
Pocillopora favosa,*Pocillopora favosa*,12Pd7_control_unified,alpheus,0.1,0.10000000000000002,1
Pocillopora favosa,*Pocillopora favosa*,12Pd7_control_unified,trapezia,1,1.7,1.7
Pocillopora favosa,*Pocillopora favosa*,13Pd1_control_unified,alpheus,0,0,NA
Pocillopora favosa,*Pocillopora favosa*,13Pd1_control_unified,trapezia,0,0,NA
Pocillopora favosa,*Pocillopora favosa*,13Pd2_control_unified,alpheus,0,0,NA
Pocillopora favosa,*Pocillopora favosa*,13Pd2_control_unified,trapezia,0,0,NA
Pocillopora favosa,*Pocillopora favosa*,14Pd1_control_unified,alpheus,0.24,0.47999999999999976,2
Pocillopora favosa,*Pocillopora favosa*,14Pd1_control_unified,trapezia,0.76,1.48,1.9473684210526316
Pocillopora favosa,*Pocillopora favosa*,14Pd2_control_unified,alpheus,0.28,0.5599999999999997,2
Pocillopora favosa,*Pocillopora favosa*,14Pd2_control_unified,trapezia,0.64,1.2,1.875
Pocillopora favosa,*Pocillopora favosa*,14Pd3_control_unified,alpheus,0,0,NA
Pocillopora favosa,*Pocillopora favosa*,14Pd3_control_unified,trapezia,0.3333333333333333,0.6666666666666667,2
Pocillopora favosa,*Pocillopora favosa*,14Pd4_control_unified,alpheus,0.05263157894736842,0.10526315789473686,2
Pocillopora favosa,*Pocillopora favosa*,14Pd4_control_unified,trapezia,0.8421052631578947,1.631578947368421,1.9375
Pocillopora favosa,*Pocillopora favosa*,14Pd5_control_unified,alpheus,0.17391304347826086,0.34782608695652184,2
Pocillopora favosa,*Pocillopora favosa*,14Pd5_control_unified,trapezia,0.8260869565217391,1.4782608695652175,1.7894736842105263
Pocillopora favosa,*Pocillopora favosa*,1Pd10_control_unified,alpheus,0.04,0.07999999999999997,2
Pocillopora favosa,*Pocillopora favosa*,1Pd10_control_unified,trapezia,0.6,1.2,2
Pocillopora favosa,*Pocillopora favosa*,1Pd1_control_unified,alpheus,0.28,0.5200000000000001,1.8571428571428572
Pocillopora favosa,*Pocillopora favosa*,1Pd1_control_unified,trapezia,0.84,1.6400000000000001,1.9523809523809523
Pocillopora favosa,*Pocillopora favosa*,1Pd2_control_unified,alpheus,0.05555555555555555,0.05555555555555554,1
Pocillopora favosa,*Pocillopora favosa*,1Pd2_control_unified,trapezia,0.7222222222222222,1.1666666666666665,1.6153846153846154
Pocillopora favosa,*Pocillopora favosa*,1Pd3_control_unified,alpheus,0,0,NA
Pocillopora favosa,*Pocillopora favosa*,1Pd3_control_unified,trapezia,0.4782608695652174,0.9130434782608695,1.9090909090909092
Pocillopora favosa,*Pocillopora favosa*,1Pd4_control_unified,alpheus,0,0,NA
Pocillopora favosa,*Pocillopora favosa*,1Pd4_control_unified,trapezia,0.16,0.16,1
Pocillopora favosa,*Pocillopora favosa*,1Pd5_control_unified,alpheus,0.72,1.84,2.5555555555555554
Pocillopora favosa,*Pocillopora favosa*,1Pd5_control_unified,trapezia,0.8,2.52,3.15
Pocillopora favosa,*Pocillopora favosa*,1Pd6_control_unified,alpheus,0.391304347826087,1.2173913043478262,3.111111111111111
Pocillopora favosa,*Pocillopora favosa*,1Pd6_control_unified,trapezia,0.5652173913043478,2.260869565217391,4
Pocillopora favosa,*Pocillopora favosa*,1Pd7_control_unified,alpheus,0.045454545454545456,0.04545454545454547,1
Pocillopora favosa,*Pocillopora favosa*,1Pd7_control_unified,trapezia,0.5,1.0454545454545456,2.090909090909091
Pocillopora favosa,*Pocillopora favosa*,1Pd8_control_unified,alpheus,0.08695652173913043,0.17391304347826092,2
Pocillopora favosa,*Pocillopora favosa*,1Pd8_control_unified,trapezia,0.5217391304347826,1.1304347826086958,2.1666666666666665
Pocillopora favosa,*Pocillopora favosa*,1Pd9_control_unified,alpheus,0.34782608695652173,0.5652173913043479,1.625
Pocillopora favosa,*Pocillopora favosa*,1Pd9_control_unified,trapezia,0.8260869565217391,1.6956521739130435,2.0526315789473686
Pocillopora favosa,*Pocillopora favosa*,5Pd1_control_unified,alpheus,0,0,NA
Pocillopora favosa,*Pocillopora favosa*,5Pd1_control_unified,trapezia,0.29411764705882354,0.411764705882353,1.4
Pocillopora favosa,*Pocillopora favosa*,5Pd2_control_unified,alpheus,0.17647058823529413,0.29411764705882354,1.6666666666666667
Pocillopora favosa,*Pocillopora favosa*,5Pd2_control_unified,trapezia,0.7647058823529411,1.3529411764705883,1.7692307692307692
Pocillopora favosa,*Pocillopora favosa*,6Pd1_control_unified,alpheus,0.32,1,3.125
Pocillopora favosa,*Pocillopora favosa*,6Pd1_control_unified,trapezia,0.52,2.24,4.307692307692308
Pocillopora favosa,*Pocillopora favosa*,6Pd2_control_unified,alpheus,0.5789473684210527,2.2105263157894735,3.8181818181818183
Pocillopora favosa,*Pocillopora favosa*,6Pd2_control_unified,trapezia,0.6842105263157895,3.4736842105263155,5.076923076923077
Pocillopora favosa,*Pocillopora favosa*,6Pd3_control_unified,alpheus,0.7391304347826086,2.391304347826087,3.235294117647059
Pocillopora favosa,*Pocillopora favosa*,6Pd3_control_unified,trapezia,0.782608695652174,3.5652173913043477,4.555555555555555
Pocillopora favosa,*Pocillopora favosa*,6Pd4_control_unified,alpheus,0.2608695652173913,0.391304347826087,1.5
Pocillopora favosa,*Pocillopora favosa*,6Pd4_control_unified,trapezia,0.391304347826087,0.6956521739130435,1.7777777777777777
Pocillopora favosa,*Pocillopora favosa*,7Pd1_control_unified,alpheus,0.5652173913043478,1.8695652173913042,3.3076923076923075
Pocillopora favosa,*Pocillopora favosa*,7Pd1_control_unified,trapezia,0.6521739130434783,3.130434782608696,4.8
Pocillopora favosa,*Pocillopora favosa*,8Pd1_control_unified,alpheus,0.12,0.16,1.3333333333333333
Pocillopora favosa,*Pocillopora favosa*,8Pd1_control_unified,trapezia,0.92,1.76,1.9130434782608696
Pocillopora favosa,*Pocillopora favosa*,8Pd2_control_unified,alpheus,0.04,0.039999999999999994,1
Pocillopora favosa,*Pocillopora favosa*,8Pd2_control_unified,trapezia,0.64,1.24,1.9375
Pocillopora favosa,*Pocillopora favosa*,8Pd3_control_unified,alpheus,0.04,0.03999999999999999,1
Pocillopora favosa,*Pocillopora favosa*,8Pd3_control_unified,trapezia,0.44,0.7200000000000001,1.6363636363636365
Pocillopora favosa,*Pocillopora favosa*,8Pd4_control_unified,alpheus,0,0,NA
Pocillopora favosa,*Pocillopora favosa*,8Pd4_control_unified,trapezia,0.21739130434782608,0.30434782608695654,1.4
Stylophora pistillata,*Stylophora pistillata*,12Sp1_control_unified,alpheus,0,0,NA
Stylophora pistillata,*Stylophora pistillata*,12Sp1_control_unified,trapezia,0.2631578947368421,0.26315789473684215,1
Stylophora pistillata,*Stylophora pistillata*,12Sp2_control_unified,alpheus,0,0,NA
Stylophora pistillata,*Stylophora pistillata*,12Sp2_control_unified,trapezia,0.4166666666666667,0.5,1.2
Stylophora pistillata,*Stylophora pistillata*,12Sp3_control_unified,alpheus,0,0,NA
Stylophora pistillata,*Stylophora pistillata*,12Sp3_control_unified,trapezia,0.7391304347826086,1.434782608695652,1.9411764705882353
Stylophora pistillata,*Stylophora pistillata*,12Sp4_control_unified,alpheus,0,0,NA
Stylophora pistillata,*Stylophora pistillata*,12Sp4_control_unified,trapezia,0.6153846153846154,1.2307692307692308,2
Stylophora pistillata,*Stylophora pistillata*,12Sp5_control_unified,alpheus,0,0,NA
Stylophora pistillata,*Stylophora pistillata*,12Sp5_control_unified,trapezia,0.8571428571428571,1.5714285714285714,1.8333333333333333
Stylophora pistillata,*Stylophora pistillata*,12Sp6_control_unified,alpheus,0,0,NA
Stylophora pistillata,*Stylophora pistillata*,12Sp6_control_unified,trapezia,0.8571428571428571,1.7619047619047619,2.0555555555555554
Stylophora pistillata,*Stylophora pistillata*,12Sp7_control_unified,alpheus,0,0,NA
Stylophora pistillata,*Stylophora pistillata*,12Sp7_control_unified,trapezia,0.8125,1.625,2
Stylophora pistillata,*Stylophora pistillata*,13Sp1_control_unified,alpheus,0,0,NA
Stylophora pistillata,*Stylophora pistillata*,13Sp1_control_unified,trapezia,0.4375,0.625,1.4285714285714286
Stylophora pistillata,*Stylophora pistillata*,13Sp2_control_unified,alpheus,0,0,NA
Stylophora pistillata,*Stylophora pistillata*,13Sp2_control_unified,trapezia,0.5882352941176471,1.1176470588235294,1.9
Stylophora pistillata,*Stylophora pistillata*,14Sp1_control_unified,alpheus,0,0,NA
Stylophora pistillata,*Stylophora pistillata*,14Sp1_control_unified,trapezia,0.42105263157894735,0.631578947368421,1.5
Stylophora pistillata,*Stylophora pistillata*,14Sp2_control_unified,alpheus,0,0,NA
Stylophora pistillata,*Stylophora pistillata*,14Sp2_control_unified,trapezia,0.84,1.52,1.8095238095238095
Stylophora pistillata,*Stylophora pistillata*,14Sp3_control_unified,alpheus,0,0,NA
Stylophora pistillata,*Stylophora pistillata*,14Sp3_control_unified,trapezia,0.7647058823529411,1.5294117647058822,2
Stylophora pistillata,*Stylophora pistillata*,14Sp4_control_unified,alpheus,0.15789473684210525,0.6315789473684209,4
Stylophora pistillata,*Stylophora pistillata*,14Sp4_control_unified,trapezia,0.5263157894736842,1.6842105263157894,3.2
Stylophora pistillata,*Stylophora pistillata*,14Sp5_control_unified,alpheus,0,0,NA
Stylophora pistillata,*Stylophora pistillata*,14Sp5_control_unified,trapezia,0.6,1.2,2
